VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
1375, 1100, -0.77205,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1376, 1102, -0.76463,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1377, 1098, -0.76834,  0.32297,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1378, 1102, -0.76463,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1379, 1103, -0.76396,  0.33508,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1380, 1103, -0.76396,  0.33508,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1381, 1099, -0.76834,  0.32158,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1382, 1098, -0.76834,  0.32297,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1383, 1100, -0.77205,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1384, 1098, -0.76834,  0.32297,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1385, 1099, -0.76834,  0.32158,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1386, 1099, -0.76834,  0.32158,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1387, 1101, -0.77272,  0.33508,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1388, 1100, -0.77205,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1389, 1102, -0.76463,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1390, 1100, -0.77205,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1391, 1101, -0.77272,  0.33508,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1392, 1101, -0.77272,  0.33508,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1393, 1103, -0.76396,  0.33508,  0.50,  1.00,  1.00,  1.00,  1.00,  0.00,  0.00098,  0.00781
1394, 1102, -0.76463,  0.33439,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
1395, 1104, -0.94285,  0.33431,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.58203,  0.34375
1396, 1105, -0.93746,  0.33431,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.59375,  0.34375
1397, 1106, -0.93746,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.59375,  0.46875
1398, 1104, -0.94285,  0.33431,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.58203,  0.34375
1399, 1106, -0.93746,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.59375,  0.46875
1400, 1107, -0.94285,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.58203,  0.46875
1401, 1108, -0.93656,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.23438,  0.4375
1402, 1109, -0.93207,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.24414,  0.4375
1403, 1110, -0.93207,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.24414,  0.53125
